Condition,Activity,Diet
Increase stamina,Take the stairs instead of the elevator – Boosts endurance.\nDrink a glass of water – Prevents fatigue.\nClap your hands or rub them together – Increases energy.,"Include complex carbohydrates (quinoa, oats, brown rice) : They provide long-lasting energy. \nEat iron and protein-rich foods (legumes, eggs, lean meats) : They boost oxygen flow and build muscle strength. \nHydrate well and add B-complex vitamins : Water and B vitamins are crucial for energy metabolism. \nAdd beetroot and bananas pre-workout : They improve endurance and reduce fatigue. \nAvoid fried and processed foods : They cause energy crashes."
Low immunity,Drink warm water with honey and lemon – Boosts immunity.\nWash your hands frequently – Prevents infections.\nStand up and take a deep breath outside – Fresh air is beneficial.,"Eat vitamin C-rich foods (oranges, kiwi, amla) : They boost white blood cell production. \nInclude zinc and iron sources (pumpkin seeds, spinach) : These are vital for immune function. \nAdd probiotics (yogurt, kefir) and turmeric : They improve gut health and immunity. \nStay hydrated and get adequate protein : Water and proteins strengthen immune defense. \nAvoid excess sugar and fried foods : They weaken the immune response. "
Migraine,Dim the lights and close your eyes for a few minutes – Eases strain.\nMassage your scalp or temples – Helps relieve headache.\nDrink water – Dehydration can trigger migraines.,"Eat magnesium-rich foods (spinach, almonds, avocado) : Magnesium reduces migraine frequency. \nInclude riboflavin-rich foods (eggs, dairy) : Riboflavin supports brain energy metabolism. \nStay hydrated and maintain meal timing : Dehydration and fasting can trigger migraines. \nAvoid aged cheese, chocolate, caffeine, and processed meats : These are common migraine triggers. \nAdd ginger and B-complex vitamins : They reduce pain and stress."
PCOD,Drink warm water or herbal tea – Helps hormone balance.\nMassage your abdomen gently – Reduces bloating.\nEat a fiber-rich snack – Supports digestion.,"Eat low GI foods (whole grains, legumes, green leafy veggies) : They help control insulin levels. \nAvoid sugar, dairy, and processed carbs : They worsen hormonal imbalance. \nAdd omega-3 sources (fish, flaxseeds), spearmint tea, and protein : These improve hormone regulation. \nStay consistent with meal timing : Regulates metabolism and hormone cycles. \nAvoid junk food and caffeine : They increase inflammation and hormonal disruption. "
Pain relief,Roll your shoulders back and forth – Relieves tension.\nAdjust your chair or posture – Prevents strain.\nUse a heating pad (if available) – Reduces pain.,"Include anti-inflammatory foods like turmeric, ginger, leafy greens : They reduce inflammation and discomfort. \nAdd omega-3s (walnuts, chia seeds) : These help relieve chronic pain. \nInclude warm fluids and magnesium-rich foods : They relax muscles and ease tension. \nAvoid processed, sugary, and fried foods : These increase inflammation and pain sensitivity. \nConsume herbal teas and stay hydrated : Helps in pain detoxification."
Posture correction,Sit up straight and pull shoulders back – Aligns spine.\nAdjust your screen to eye level – Prevents slouching.\nCross your arms behind your back for a stretch – Opens chest.,"Add protein-rich foods (eggs, tofu, legumes) to support muscle health : Proteins help strengthen postural muscles. \nCalcium and vitamin D-rich foods (milk, almonds, sun exposure) strengthen bones : Strong bones support better posture. \nStay hydrated and consume anti-inflammatory herbs : Hydration keeps muscles supple. \nAvoid excessive caffeine and junk food : They weaken bone and muscle structure. "
Stress reduction,"Take 5 slow deep breaths – Calms the nervous system.\nListen to your favorite song – Instantly uplifts mood.\nLook at something green (plants, trees) – Reduces stress.","Consume magnesium and vitamin B-rich foods (leafy greens, nuts) : They regulate stress hormones. \nAdd adaptogenic herbs (ashwagandha, tulsi tea) : They naturally lower stress and anxiety. \nStay hydrated and eat complex carbs : Keeps cortisol levels balanced. \nAvoid sugar, caffeine, and processed snacks : These increase anxiety and restlessness. \nInclude bananas and dark chocolate : They increase serotonin and uplift mood."
Thyroid ,Sip on warm water or herbal tea – Helps digestion and metabolism.\nTake a sunlight break – Boosts Vitamin D for thyroid health.\nStretch your neck gently – Enhances circulation to the thyroid.,"Add iodine-rich foods (iodized salt, seaweed), selenium (brazil nuts), and zinc (pumpkin seeds) : They support thyroid hormone production. \nInclude whole grains, dairy, and vitamin D : These balance metabolism and support thyroid function. \nAvoid goitrogens in excess (soy, broccoli) : They can interfere with thyroid hormone absorption. \nStay consistent with meal timings : Supports metabolic stability. "
Weight Gain,Eat a protein-rich snack – Helps muscle growth.\nTake deep breaths – Reduces stress that affects appetite.\nStretch arms and legs – Increases blood flow for better digestion.,"Eat calorie-dense, nutrient-rich foods (dry fruits, peanut butter, banana milkshake) : They add healthy calories. \nInclude full-fat dairy, ghee, potatoes, and whole grains : They help increase body mass. \nAdd small frequent meals and snacks : Helps in gradual weight gain. \nAvoid junk food and focus on healthy calories : Supports sustainable and nutritious weight gain."
Weight loss,Stand up and walk around – Increases calorie burn.\nDrink green tea or water – Keeps metabolism active.\nReplace unhealthy snacks with nuts or fruits – Aids weight management.,"Focus on high-fiber foods (salads, oats, fruits) : Fiber keeps you full longer. \nAdd lean proteins (chicken, lentils), and healthy fats (nuts, seeds) : Proteins build muscle and fats aid metabolism. \nHydrate well and eat small frequent meals : Keeps hunger and metabolism in control. \nAvoid sugar, processed carbs, and fried food : These increase fat storage. \nInclude green tea and lemon water : They help burn fat and detox the body. "
